"ANIO","MES_NUM","Precipitacion"
2010,1,4
2010,2,4.427188724235731
2010,3,3.987480407475377
2010,4,6.220932405998316
2010,5,11.661903789690601
2010,6,11.949895397031725
2010,7,16.62828914831589
2010,8,7.523297149521611
2010,9,12.206555615733702
2010,10,4.636809247747852
2010,11,4.959838707054898
2010,12,2.7202941017470885
2011,1,4
2011,2,4.427188724235731
2011,3,3.987480407475377
2011,4,6.220932405998316
2011,5,11.661903789690601
2011,6,11.949895397031725
2011,7,16.62828914831589
2011,8,7.523297149521611
2011,9,12.206555615733702
2011,10,4.636809247747852
2011,11,4.959838707054898
2011,12,2.7202941017470885
2012,1,4
2012,2,4.427188724235731
2012,3,3.987480407475377
2012,4,6.220932405998316
2012,5,11.661903789690601
2012,6,11.949895397031725
2012,7,16.62828914831589
2012,8,7.523297149521611
2012,9,12.206555615733702
2012,10,4.636809247747852
2012,11,4.959838707054898
2012,12,2.7202941017470885
2013,1,4
2013,2,4.427188724235731
2013,3,3.987480407475377
2013,4,6.220932405998316
2013,5,11.661903789690601
2013,6,11.949895397031725
2013,7,16.62828914831589
2013,8,7.523297149521611
2013,9,12.206555615733702
2013,10,4.636809247747852
2013,11,4.959838707054898
2013,12,2.7202941017470885
2014,1,4
2014,2,4.427188724235731
2014,3,3.987480407475377
2014,4,6.220932405998316
2014,5,11.661903789690601
2014,6,11.949895397031725
2014,7,16.62828914831589
2014,8,7.523297149521611
2014,9,12.206555615733702
2014,10,4.636809247747852
2014,11,4.959838707054898
2014,12,2.7202941017470885
2015,1,4
2015,2,4.427188724235731
2015,3,3.987480407475377
2015,4,6.220932405998316
2015,5,11.661903789690601
2015,6,11.949895397031725
2015,7,16.62828914831589
2015,8,7.523297149521611
2015,9,12.206555615733702
2015,10,4.636809247747852
2015,11,4.959838707054898
2015,12,2.7202941017470885
2016,1,4
2016,2,4.427188724235731
2016,3,3.987480407475377
2016,4,6.220932405998316
2016,5,11.661903789690601
2016,6,11.949895397031725
2016,7,16.62828914831589
2016,8,7.523297149521611
2016,9,12.206555615733702
2016,10,4.636809247747852
2016,11,4.959838707054898
2016,12,2.7202941017470885
2017,1,4
2017,2,4.427188724235731
2017,3,3.987480407475377
2017,4,6.220932405998316
2017,5,11.661903789690601
2017,6,11.949895397031725
2017,7,16.62828914831589
2017,8,7.523297149521611
2017,9,12.206555615733702
2017,10,4.636809247747852
2017,11,4.959838707054898
2017,12,2.7202941017470885
2018,1,4
2018,2,4.427188724235731
2018,3,3.987480407475377
2018,4,6.220932405998316
2018,5,11.661903789690601
2018,6,11.949895397031725
2018,7,16.62828914831589
2018,8,7.523297149521611
2018,9,12.206555615733702
2018,10,4.636809247747852
2018,11,4.959838707054898
2018,12,2.7202941017470885
2019,1,4
2019,2,4.427188724235731
2019,3,3.987480407475377
2019,4,6.220932405998316
2019,5,11.661903789690601
2019,6,11.949895397031725
2019,7,16.62828914831589
2019,8,7.523297149521611
2019,9,12.206555615733702
2019,10,4.636809247747852
2019,11,4.959838707054898
2019,12,2.7202941017470885
2020,1,4
2020,2,4.427188724235731
2020,3,3.987480407475377
2020,4,6.220932405998316
2020,5,11.661903789690601
2020,6,11.949895397031725
2020,7,16.62828914831589
2020,8,7.523297149521611
2020,9,12.206555615733702
2020,10,4.636809247747852
2020,11,4.959838707054898
2020,12,2.7202941017470885
2021,1,4
2021,2,4.427188724235731
2021,3,3.987480407475377
2021,4,6.220932405998316
2021,5,11.661903789690601
2021,6,11.949895397031725
2021,7,16.62828914831589
2021,8,7.523297149521611
2021,9,12.206555615733702
2021,10,4.636809247747852
2021,11,4.959838707054898
2021,12,2.7202941017470885
2022,1,4
2022,2,4.427188724235731
2022,3,3.987480407475377
2022,4,6.220932405998316
2022,5,11.661903789690601
2022,6,11.949895397031725
2022,7,16.62828914831589
2022,8,7.523297149521611
2022,9,12.206555615733702
2022,10,4.636809247747852
2022,11,4.959838707054898
2022,12,2.7202941017470885
2023,1,4
2023,2,4.427188724235731
2023,3,3.987480407475377
2023,4,6.220932405998316
2023,5,11.661903789690601
2023,6,11.949895397031725
2023,7,16.62828914831589
2023,8,7.523297149521611
2023,9,12.206555615733702
2023,10,4.636809247747852
2023,11,4.959838707054898
2023,12,2.7202941017470885
2024,1,2.1447610589527217
2024,2,4.69041575982343
2024,3,1.6733200530681511
2024,4,2.701851217221259
2024,5,2.4899799195977463
